spotify_id,name,popularity,streams,release_date,key,mode,duration_ms
09gysnJpfQ3ublBmJDfcEC,SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),77,354065229,2021-09-16,C#,Minor,204764.0
09m40hbfqNwnF5w2CbqIqt,Heavenly Key,68,,2023-06-16,G#,Major,125714.0
0A1JLUlkZkp2EFrosoNQi0,Labyrinth,76,,2022-10-21,C,Major,247962.0
0AAMnNeIc6CdnfNU85GwCH,Self Love (Spider-Man: Across the Spider-Verse) (Metro Boomin & Coi Leray),79,70106975,2023-06-02,A,Major,189467.0
0ADZ5dmXhlfzjMw6lefoPl,Far Away,72,49262961,2005-09-26,F#,Major,238173.0
0AfIR8VasA54q69YtrNbSV,The Apology Song Latino Americano,27,759208783,2014,C#,Minor,152187.0
0Ag6LNrSfJVKRhGzD7ArDq,Mess It Up,69,,2023-10-20,B,Minor,243687.0
0AjcdGri5vhJsmZnduCEqd,October Passed Me By,74,,2022-10-14,C,Major,165592.0
0AvmYTwL16E2CAqCrXP0dW,Hello,52,,2023-10-20,D,Minor,196373.0
0B1xarnfKvUFWUoFdQnooq,RIOT (Rowdy Pipe'n),69,,2023-07-20,F,Minor,189012.0
0B6g379TMw0nYGXA7y5xHz,"All The Way Live (Spider-Man: Across the Spider-Verse) (Metro Boomin & Future, Lil Uzi Vert)",72,37126685,2023-06-02,A,Minor,245240.0
0BAMfPIHtcXXqFR5FVaVUA,someday,44,,2022-05-26,C,Major,202640.0
0BiqmkasE5FdrChwKfVp8X,Bigger Than The Whole Sky,74,121871870,2022-10-22,F#,Major,218503.0
0Bponh4wbYKzf9k3AeIdF7,Deck The Halls,64,127027715,2017-12-06,B,Minor,166733.0
0CEQAgaOtbhVlxzIlgdJ66,Long Whale Song (Short Version),53,309653982,2022-10-14,D#,Minor,170000.0
0CKmN3Wwk8W4zjU0pqq2cv,Arabian Nights,62,,1992-01-01,A,Minor,79293.0
0CMYUXTTTmI6Lwc0opH2XG,Herinneringen,71,,2022-01-13,C,Major,172357.0
0COqiPhxzoWICwFCS4eZcp,Bring Me To Life,86,,2003-03-04,E,Minor,235893.0
0CYTGMBYkwUxrj1MWDLrC5,CHORRITO PA LAS ANIMAS,85,345031710,2022-12-02,G#,Minor,168133.0
0CtZpaOhtzvLV3FfcsVpQo,"Besharam Rang (From ""Pathaan"")",77,140187018,2022-12-12,G#,Minor,258474.0
0CtuA9sDnOAU3NM8bHIMyu,Wassup Gway,61,,2023-09-08,D,Major,144962.0
0D1OY0M5A0qD5HGBvFmFid,Go the Distance,66,,1997-01-01,A,Major,194160.0
0DEjFljgDbPjkm5460EJnA,Face Down,59,,2023-08-25,C#,Major,127058.0
0DRJILxCmuHsrJpYYqXMed,711,56,,2023-10-20,F,Major,149125.0
0DZ1HEZQ8ZhZbLkxidj3EW,Superheroes (Jay Version),20,78489819,2015-04-10,E,Minor,94453.0
0DbcdVCzmY1IjilPTPaSOe,Love Song For A Savior,43,86176890,1995-10-24,,,
0E0DRHf5PfMeor0ZCwB3oT,Otro Atardecer,79,319546754,2022-05-06,,,
0E2ARPr6Anq8l4dwsu8hbP,Some Day My Prince Will Come,55,,1997-01-01,G,Major,114307.0
0EF1EE8zusg3Y869e56JFd,Nothing's New,82,,2022-09-23,B,Major,211000.0
0EhuGnOS6fTc5l5UNtDEH2,POLARIS - Remix,84,,2023-06-08,G#,Minor,288000.0
0EqczV3o6fwksegAavIHpX,LOVELY BASTARDS,88,,2023-08-25,C#,Major,116104.0
0F95C4z2gQJ8NigLuO4z4u,WOW!,49,,2023-10-20,G,Major,157213.0
0FA4wrjDJvJTTU8AepZTup,Watch This - ARIZONATEARS Pluggnb Remix,85,207033255,2023-02-05,B,Minor,163139.0
0FQyOcOjIKV2wyz6ZXMic9,My Old Blue Jeans,0,29562220,1984-01-01,B,Major,190907.0
0FkD2FHEZrZIofVkY6XPFK,DEMBOW BÉLICO,83,,2023-06-03,D,Major,126523.0
0Fnjp5rPXHGYnehRgnaEjr,Lighter,56,,2023-10-20,G#,Major,166498.0
0G0VytjujWiQYYaXQhXeUo,"Jim’s Theme (From ""Pathaan"")",44,31959571,2023-05-10,G#,Major,71874.0
0G17UriYHMjXnZE2OJJSMR,SUNRISE (Slowed + Reverb),75,,2022-06-10,A#,Major,138857.0
0GNVXNz7Jkicfk2mp5OyG5,Stick Season,75,,2022-07-08,A,Major,182347.0
0GYXdDvDLLCCSgbqsu3FYE,Songs Ange,15,918915401,2023-09-06,B,Minor,144922.0
0GdZqKPBrvkpo7mk2OyHtf,Back Then Right Now,70,,2023-09-08,G,Major,201485.0
0GocVBngN9RHyWlfQnS4Th,Haverzh,66,,2023-09-15,B,Major,187000.0
0GxdlJGqLBNt0ZqhPSIFqa,Delonte West,7,383550148,2015-04-09,F,Minor,180957.0
0HL3y3bsKSARBSP0qaImwb,Carried Me With You,59,,2020-02-28,C,Major,213733.0
0HVvp9utYjZ9RCKgBNIGUY,Tus Labios,68,,2023-08-17,G,Major,175663.0
0HYhOGKAHiOsv8GW4JdMJ8,Lonesome,64,,2023-03-17,C,Major,187592.0
0HrWshW3SuFJ6nKS9ba9Mh,Vette Motors,71,,2022-08-05,A#,Minor,173419.0
0I2BCIvlzrb6Iix9hAbQFF,Problematic,72,,2023-10-06,F#,Major,164987.0
0IEdVKIFcvCV3q7d9M1FWj,STAR WALKIN' (League of Legends Worlds Anthem),46,332506354,2023-02-10,G#,Minor,182000.0
0IKeDy5bT9G0bA7ZixRT4A,Bebe Dame,82,367316268,2022-12-28,G,Major,271862.0
0IThMukvMBCyCXWblM4fh7,Simplicity,66,,2023-08-24,C,Major,188000.0
0IXgDkAzvmZuHX7rGtEZHg,Endlessly Jealous,20,665765558,1984-04-01,D,Major,235773.0
0IckBeArn5uLK96ddfW8zK,Heather's Song,29,1301799902,2009-06-06,G,Major,208853.0
0J9g1MMJDhyvOb3NWckHMm,Chulo pt.2,88,,2023-06-22,F,Minor,219333.0
0JFUAuI5jrh7xHaY0kRFW1,limbo,49,,2023-10-19,C,Major,182234.0
0JbSghVDghtFEurrSO8JrC,Country Girl (Shake It For Me),79,,2011-01-01,D,Major,225560.0
0Jlcvv8IykzHaSmj49uNW8,the 1,82,,2020-07-24,C,Major,210252.0
0JmnkIqdlnUzPaf8sqBRs3,Moonlight,85,,2023-03-03,G,Minor,187723.0
0Jw3cPBXlGnA6DEJrZSTI0,Soul Bossa Nova,57,41924466,1962-01-01,F,Minor,166590.0
0KkCsYHv7QgzKpNm4pcVj9,Languid,67,,2023-10-13,A,Major,183000.0
0KmgJyW4GDgonqsoyx0CZ3,Astronomy,69,,2021-05-07,E,Minor,243907.0
0Kw4lElym53ZdiikZlr9ts,LEAVE 'EM,63,,2023-07-27,A#,Minor,69357.0
0LAhBAJOM0IzqOaMvuFLZq,Poor Unfortunate Souls,54,,2023-05-26,C,Major,282013.0
0LDUzTvKVEla4L7GusNck2,POOR,73,,2022-12-30,C,Major,160029.0
0LQtEJt7x0s6knb6RKdRYc,Chicken Fried,80,,2008-11-17,F#,Major,238147.0
0LmD6LnXYecaaMZKG8bW12,Picture Perfect,41,956865266,2017-07-14,D#,Minor,150280.0
0LzidBf7cUsnZnG34OUPSF,Mosquito,71,,2023-09-29,B,Minor,146240.0
0MRao1qyMY3GJVBRd1CYOF,Boame,0,1127468248,2023-07-14,D#,Major,229110.0
0Me3GyNuLOa1YTIxhJPyCn,ASI ES LA VIDA,83,,2023-09-28,D#,Minor,172096.0
0MtfUEHee9p6RsqAwW8gyF,My Home,74,,2023-10-13,B,Major,206250.0
0N5NNIaNs3YVhiyt22ZYhG,The New World,70,,2023-03-04,A,Major,194000.0
0NO2zL0kw8sGGnaMvHKAZF,Marisola - Remix,80,223582566,2022-12-15,C#,Major,237474.0
0NaUT74rJ0NHS62fewzatU,I LOVE YOU HOE (w/ 9lives),84,,2023-07-12,C#,Major,126600.0
0Nby3sP8ns6K37DsVCio5B,Scared of the Dark,49,,2017-04-21,F#,Major,226520.0
0Nfh4u0J4bajcyp5pzaWCx,Used To Be Young,77,,2023-08-25,E,Major,190461.0
0NgdKtJy6pKBvWhcVuQbxd,Thicc As Thieves (feat. Lainey Wilson),62,,2023-06-09,G,Major,179812.0
0NwGC0v03ysCYINtg6ns58,Better Than Revenge (Taylor's Version),80,30343206,2023-07-07,B,Minor,220307.0
0O3U5iwTbiXCREMkvotJuN,EL AMOR DE SU VIDA,90,,2023-08-25,A,Major,165848.0
0O6u0VJ46W86TxN9wgyqDj,I Like You (A Happier Song) (with Doja Cat),86,,2022-06-03,F,Major,192841.0
0OFknyqxmSQ42SoKxWVTok,Un Poco Loco,72,,2017-11-10,G,Major,112205.0
0OTNHGKcqQbk51bOYe462Y,ULTRA SOLO,75,279717388,2022-02-14,,,
0P3iyxC1u5Bswhvi8CPDwV,"Sleeper, Look Straight",7,502574952,2013-03-29,B,Minor,122587.0
0PAcdVzhPO4gq1Iym9ESnK,Thinkin’ Bout Me,86,,2023-03-03,D#,Minor,177388.0
0PB0O24JqAuNdOAFVJljMS,Coco Chanel,85,250305248,2023-03-17,D,Major,160325.0
0PKmDncVOiNQLO6D1P6PXi,I Won't Say (I'm In Love),70,,1997-01-01,C,Major,140227.0
0QBzMgT7NIeoCYy3sJCof1,Bam Bam (feat. Ed Sheeran),78,756907987,2022-03-04,G#,Major,206071.0
0QIjsbm2fh1cJ45XO9eGqq,Wake Up in the Sky,80,,2018-09-14,E,Minor,204665.0
0QKfiqpEU4h9ycPSzIFwYe,Maniac,73,,1983-04-11,D#,Minor,244707.0
0QRHOAeU8JRaVVn3UoZBih,REINA,86,,2023-08-28,A#,Major,211879.0
0QTUoI90fBFdKkd4h8fsOu,Calling All the Monsters,60,,2011-10-11,D,Major,206507.0
0QZ5yyl6B6utIWkxeBDxQN,The Night We Met,82,,2015-04-07,D,Major,208212.0
0R902FnwJO8kBZYvtpQLrL,YUM YUM,79,,2023-06-23,C#,Major,129697.0
0RVmg31gzlshCm356g0HF2,BAIXO,79,,2023-09-19,G#,Major,104013.0
0RujXee9prjXv59EPhKPcd,Begging Song,7,1367810478,2002-01-01,D#,Major,85867.0
0S1fmk6xz49SHINeXXpStW,Different About You,60,,2023-10-06,C#,Minor,160867.0
0Sbeihd75SGitymHS8Bqbh,I Hate Love Songs,56,356709897,2018-10-26,B,Major,191187.0
0SccFtYdj75y6lL2OW10Cf,Steal The Show,73,,2023-06-16,G,Major,192507.0
0Sfn2TYbpQtCGMBf6C0Y6T,PLAYA DEL INGLÉS,79,221409663,2023-01-20,G,Minor,237525.0
0SiywuOBRcynK0uKGWdCnn,Bad Romance,84,,2009-11-05,C,Major,294573.0
0SqfoSpuWsk4CJpCX2LvCD,Song In My Head,48,190981339,2019-08-16,G#,Major,280293.0
0SzDVyiiUDpuhzrphnoejr,North Memphis,69,,2019-11-20,C#,Major,135827.0
0T9HkYHyoI0SUTeGOQo85z,Memories of Rachmaninoff’s Georgian Song,5,1759567999,2023-10-06,D,Minor,303893.0
0TCt7OFRdD8PQ6vTRQxNgQ,"I've Got a Dream - From ""Tangled""/Soundtrack Version",66,,2010-01-01,C#,Minor,191413.0
0TFx6jL7Cp7HU1zQpdXUjI,One Day She’s Here,50,674072710,2020-01-17,B,Minor,227160.0
0UBRN63fWjvMLedwgoeB2z,One in a Million,1,191945597,2023-10-17,B,Major,160530.0
0UEBfC8wWijoWnaXXpL641,Song Of Universal Light - Atlantis Angelis,15,571386359,2012-08-21,G,Major,516834.0
0UNDrAptMY5glGrcdr93Kx,Happier (feat. Oli Sykes of Bring Me The Horizon),71,,2023-10-17,A#,Minor,204459.0
0UXlu64mDLvfzR8IXMz06J,Ya No Somos Ni Seremos,80,319757142,2022-02-18,G,Major,185723.0
0V3wPSX9ygBnCm8psDIegu,Anti-Hero,92,,2022-10-21,E,Major,200690.0
0VE4kBnHJUgtMf0dy6DRmW,Getaway Car,87,,2017-11-10,D,Major,233627.0
0VO8gYVDSwM1Qdd2GsMoYK,Moth To A Flame (with The Weeknd),83,611994237,2022-04-15,G#,Major,234000.0
0Vamcab1ClWW7u8rAiwT5d,For Once In My Life,43,1023187129,2023-02-03,C#,Major,148235.0
0VcObbPULLRrYj4o33Eidc,I'm Gonna Sing,33,236060709,2002-01-01,,,
0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,92,,2020-03-20,C#,Major,200040.0
0W4NhJhcqKCqEP2GIpDCDq,Love,85,,2005-01-01,F,Major,255333.0
0W6I02J9xcqK8MtSeosEXb,Get Into It (Yuh),78,516784627,2021-06-25,G#,Minor,138293.0
0WNfQxDGaPTl0yogcMR5v1,Tomorrow 2 (with Cardi B),73,,2022-11-11,C,Major,209811.0
0WP6U0BFCgvlK1eZolIBUg,"Song For Mount Vernon, WA (No Option / Big Man On Campus)",19,54682594,2022-12-21,,,
0WZ5paMR4zJAdjkBgCVAYN,Good Day for a Good Day,55,826623384,2022-06-03,C,Major,190288.0
0WirE9soFSbeq15cg8uIRy,Mirror Song,34,53603447,1991-01-01,,,
0WtM2NBVQNNJLh6scP13H8,Calm Down (with Selena Gomez),90,899183384,2022-08-25,B,Major,239318.0
0XPsOSYzDJZJArevQNm2AR,Speechless (Full),71,,2019-05-22,F#,Minor,208801.0
0XgOhyJWH5UVWyV7farWDr,Paint The Town Blue,63,,2023-10-13,C#,Major,185133.0
0YFqKxV9uNu6LUeYkLOKRS,On Time (with John Legend),73,78139948,2022-12-02,F,Minor,168920.0
0YgXSDMUJlen2AQ6fnYLLr,Song Number 7,23,,2016-03-11,C#,Major,179733.0
0ZPjVmof45INEERgYfadtv,Chasing That Feeling,82,,2023-10-13,A#,Minor,182670.0
0ZUo4YjG4saFnEJhdWp9Bt,Before He Cheats,81,,2005-11-14,F#,Minor,199947.0
0ZxhtATQ0a6EvQNZ0z6NKV,Princess Diana (with Nicki Minaj),80,104992946,2023-04-14,A,Major,172125.0
0aV5uARAknQgYhBaK944FP,"Would've, Could've, Should've",75,,2022-10-22,G,Major,260362.0
0ayd4fDb6rMZl9uqCY3Hzl,Old Dirt Roads,71,,2023-08-10,C#,Major,227892.0
0bBwi6ddYeTv5fXgHAdfiH,Evoque Prata,72,174006928,2022-09-09,G,Major,107077.0
0bILU0UiNDmA5Ff6whhb2R,Religiously,84,,2023-05-12,C#,Major,178723.0
0bkV1iQHSxBaksUqgEkcbc,SKITZO (feat. Young Thug),77,,2023-07-28,F,Minor,366593.0
0c6Pmdnw71qZ4UHkr4qRNQ,Bora Bora,60,865640097,2019-08-02,C#,Major,162206.0
0cCLNIYOUthHiQHOS8iGRV,Songoro Cosongo,41,135444283,1978-01-01,F,Minor,470280.0
0cITLOYn1Sv4q27zZPqlNK,Red,59,,2012-10-22,C#,Minor,220827.0
0cVyQfDyRnMJ0V3rjjdlU3,Lil Boo Thang,87,,2023-08-18,C,Major,114234.0
0cqNGWvuukhCiKvEX7utys,We're All In This Together,66,,2006-01-01,C#,Major,231427.0
0crVjW9Jz8ktVuVXoUi187,ID,79,,2023-06-02,C#,Major,235525.0
0cv1Mnb47oMvjVKMc2cyZw,Can't Hold Us Down (feat. Lil' Kim),63,1953533826,2002-07-19,G#,Major,255267.0
0d1NK6DEtHLK0Mw4iij3uI,Mr. Lonely,48,,2023-10-20,G,Major,182400.0
0d5OZ7YYD8YXlXGitjHO0n,Live For Me,61,,2023-10-05,C,Major,211667.0
0d83zVs3OmdjrhfoAxg1dE,U Know What's Up,62,,2022-03-11,D,Major,188893.0
0dQZTgDVjsQfrp7VCTQqYm,MONTAGEM - MELODIA ENVOLVENTE 4,73,,2023-04-14,B,Minor,250861.0
0dWSN9JS8vAcnM8a6lxIrB,No Es Mentira (Version Norteña),79,,2023-06-02,E,Minor,200062.0
0dxp7DyPJEo6JhtnjUtBnN,On My Love,82,,2023-09-15,A#,Minor,222912.0
0eBFgRxyVSeuT4iyrbukdn,Where the Wild Things Are,78,,2023-03-24,D#,Major,239533.0
0eIeUNfz7WO5D6Krg9NYoh,Dandelion's Song,0,1116995633,2023-07-22,A#,Major,135511.0
0eaVIYo2zeOaGJeqZ5TwYz,No Pole,71,94005786,2023-02-28,F,Minor,187613.0
0fCwTrRNfoNk962ati8n2K,All Your'n,82,,2019-08-02,B,Major,218280.0
0fVQEAJzB0WDLgS28zbECm,Take Me To Church - Spotify Singles,47,,2023-10-18,G,Major,270264.0
0fea68AdmYNygeTGI4RC18,LA CANCIÓN,86,1435127549,2019-06-28,G,Major,242573.0
0g2Bbgy7P41pFjMWJuzsf4,STAYING ALIVE (feat. Drake & Lil Baby),68,170732845,2022-08-05,,,
0g8nIlk2ltpZP8lYlPvRx1,Always Get Through To You,59,,2023-10-20,D#,Minor,246750.0
0gEyKnHvgkrkBM6fbeHdwK,Linger,82,,1993-03-01,G,Major,274707.0
0hQyFpC8af9Dj89fEYkXPG,ghost in my guitar (feat. Chris Stapleton),67,,2023-08-18,C,Minor,200893.0
0heeNYlwOGuUSe7TgUD27B,Question...?,75,,2022-10-21,G,Major,210557.0
0hquQWY3xvYqN4qtiquniF,Vegas (From the Original Motion Picture Soundtrack ELVIS),79,448500832,2022-05-06,,,
0i4UV3HjjvsUuV3BajEXoD,Baile no Morro,73,129314708,2022-06-17,,,
0i74hCilU2AmXjYSbr2N6B,Special Way,36,1235005533,1986-11-03,F#,Major,327800.0
0i8EbwLvGtg3u9hq896b1A,GLOW,47,,2023-10-19,F,Minor,167742.0
0iCsRcu5mugWVlCMpD7wb1,K Toven,64,,2023-07-20,C#,Minor,93686.0
0iUrxveyNUBfj0cqjYEijt,NEON BLADE,79,,2022-06-01,G,Major,265263.0
0irxRes67DWbAdghQ9F6sC,Song Against Sex,42,463564958,1996-03-26,F,Major,220893.0
0j1Ia2lQWrcXrQZI4AdJlk,IDK You Yet,77,,2020-06-23,C#,Major,184638.0
0j3mqDTK4Z6lvrLzFCUUz6,Good Looking,84,,2022-08-18,E,Major,214800.0
0j5Y7MU6fNTqJ8j2Jv2VYl,Heart of the Father,50,376333030,2022-07-15,A#,Major,243476.0
0j8jhVHMHLb3MFEmC0jGgt,Sundown,67,,2023-04-06,A,Major,188000.0
0jiQP6yRWYgfLjVPdfAF3M,Played-A-Live (The Bongo Song) - Radio Edit,0,284819874,2023-10-13,G#,Minor,200333.0
0k1WUmIRnG3xU6fvvDVfRG,Way 2 Sexy (with Future & Young Thug),77,489945871,2021-09-03,B,Minor,257605.0
0k8w7m4faqTHzcni86vhHV,STARING A HOLE IN THE FLOOR,19,686734357,2021-10-29,G,Major,195210.0
0k9k2Mr1gR7zeSLiNAqimY,ALORS BRAZIL,71,,2023-08-11,A#,Minor,101322.0
0kAZ3H6G9Zac4PMpmobMkj,If This Was A Movie (Taylor’s Version),73,,2021-04-09,E,Major,237022.0
0kTMK4gNFfLXaTb62w1UaJ,BABY OTAKU,71,159240673,2022-08-18,,,
0lGewtbWP8unTgrLmAnjX2,Lovely - Slowed & Reverb,56,2355719893,2023-01-31,G#,Major,246596.0
0ll8uFnc0nANY35E0Lfxvg,Somewhere Only We Know,79,1089402494,2004-01-01,A,Major,236160.0
0lodMO0qK83vfPiiD7FMEt,TOPIA TWINS (feat. Rob49 & 21 Savage),82,,2023-07-28,C#,Minor,223174.0
0lx2cLdOt3piJbcaXIV74f,willow,83,,2020-12-11,G,Major,214707.0
0m6aRplCbWmteKiDCkCzTg,One Step Closer (Theme Song from the Apple Original Series “Jane”),31,2591224264,2023-04-07,G,Minor,187833.0
0m9vOqTow5AWQzSEtUCKW9,The First Noel,41,741301563,2013-09-18,A,Major,173680.0
0mL82sxCRjrs3br407IdJh,Is There Someone Else?,86,391251368,2022-01-06,A,Minor,199111.0
0mYZDzhKs8sa0oDsS6HSZ5,Imaginar,67,,2023-02-23,A#,Major,144000.0
0mflMxspEfB0VbI1kyLiAv,Stick Season,92,,2022-10-14,A,Major,182347.0
0nJW01T7XtvILxQgC5J7Wh,When I Was Your Man,90,1661187319,2012-12-07,C,Major,213827.0
0nnHhbBzCBEpCRQs8uHM3T,August Day Song,30,607123776,2000-01-01,E,Minor,277227.0
0oJ8ulmF3Vq6BxI9VodIT9,Song: Morey Piya,27,,2002-01-01,C#,Major,274800.0
0oW1upYPuCWkarwMWZD0NK,MALVADA (with Kali Uchis & KHEA),58,,2020-03-13,B,Minor,140805.0
0ogcV4I4ZIbeATU1jt8bTZ,023 - Virtual World Tour! - Song: Perfect Catch,18,2559529074,2020-10-16,C#,Major,140920.0
0p0cOpBujR114Wirv5AM7W,Narcotics (with Bryant Myers),84,,2023-09-14,C#,Major,173991.0
0p1hBWPaSxUDTSa32PyhnU,She Calls Me Back (with Kacey Musgraves),80,,2023-10-06,B,Major,243962.0
0pNp4untlQyZU1FZU2J0W2,Midnight Is Coming,65,,2023-01-28,E,Major,178500.0
0pRqj4CrVCHOjDngEXZxcz,The Secret Recipe,61,,2023-09-29,F,Major,248661.0
0piVRtRDlflmgSz12ZB8b6,drivers license - Acoustic Covers Versions of Popular Songs,26,1858144199,2021-10-11,G#,Major,143571.0
0pw2TNlMBqNm7u8oWtkF2e,Theme From the Munsters,37,212234990,2010-09-28,D,Major,45000.0
0pyOM5TLmrs7fhTwgre7TG,What Should I Do?,52,,2023-10-18,B,Major,183080.0
0qCPD6ilr9nXkI4KVZgcns,Abcdario,83,89933133,2023-05-13,G#,Major,220650.0
0qYrFdX5T8qMyUp0DSce9U,A Lady Gaga Song,2,86444842,2020-07-14,D,Major,273263.0
0qcr5FMsEO85NAQjrlDRKo,"Let It Go - From ""Frozen""/Soundtrack Version",77,,2013-01-01,G#,Major,223840.0
0qdbaqa5piAZn8X5hYTqo7,Declarate Inocente,0,477033549,2012-03-05,C,Major,122996.0
0qo1JukfClmpHnUOJxpFXi,killer queen,71,,2021-10-29,D#,Minor,178889.0
0qvzXomUDJVaUboy2wMfiS,This Town,83,,2017-10-20,A,Major,232852.0
0rAsn40XCigrz7XZNxV2pr,Dirt Roads And Jesus,51,,2023-09-22,C,Major,190511.0
0rCFRyEy4WXjRXNpO80Dzs,Fall In Love,80,,2023-05-12,A,Major,232059.0
0rKWJnmo6Q0ovoPOLoLm0t,TOO MUCH,88,,2023-10-19,A#,Minor,203939.0
0rKtyWc8bvkriBthvHKY8d,SLOW DANCING IN THE DARK,84,1122364376,2018-10-26,,,
0rY1FvyyqOYSdxnKfBGjj3,Pass The Kutchie,47,195918494,2013-07-15,,,
0rcaFqednwwedMu68xpKlj,Funny,56,,2023-10-17,F#,Minor,302579.0
0rhI6gvOeCKA502RdJAbfs,Sugar Rush Ride,78,107642809,2023-01-27,A#,Minor,186571.0
0rj3W147rXLe3bokOgWAW9,Annihilate - Spider-Man: Across the Spider-Verse - Instrumental,48,86773632,2023-08-04,B,Minor,231747.0
0rzaRSujxA0bKyjJl6vHYq,Satellite,83,,2022-05-20,C,Major,218577.0
0sLNAFfzJI0FOBRfAFNBUb,Songs You Help Me Make,37,506778838,2023-07-07,B,Major,178357.0
0sSRLXxknVTQDStgU1NqpY,Hours In Silence,77,,2022-11-04,F#,Minor,399154.0
0sY6ZUTh4yoctD8VIXz339,champagne problems,83,,2020-12-11,C,Major,244000.0
0t6q2Xz3062zmQ9dMDwSBh,Gospel Song,53,64787943,2021-02-12,C,Major,193809.0
0tEugNCWzzwp1VeqzpKLsB,Dirt Cheap,57,,2023-09-01,F#,Major,168027.0
0uBrQT9ny21InKVEsc7lm2,Otro Show,83,,2023-09-09,C#,Major,160800.0
0uLd2Bf1FBtBNQPsWIkpPG,Own Paradise,72,,2023-02-01,G,Major,128026.0
0uukVUEWsYDhIZTEYYUVYT,The Supermodel Song,0,231657891,1997,,,
0vBjd0I8iefycEZ2ex1Zpi,joy.,59,345903614,2018-10-05,F,Minor,233947.0
