,0,1,2
39,2FDTHlrBguDzQkp7PVj16Q,thick,2
40,2FDTHlrBguDzQkp7PVj16Q,change,2
41,2FDTHlrBguDzQkp7PVj16Q,mind,2
42,2FDTHlrBguDzQkp7PVj16Q,halfway,2
43,2FDTHlrBguDzQkp7PVj16Q,put,2
44,2FDTHlrBguDzQkp7PVj16Q,meter,2
45,3qQbCzHBycnDpGskqOWY0E,compa,1
46,3qQbCzHBycnDpGskqOWY0E,parece,1
47,3qQbCzHBycnDpGskqOWY0E,morra,1
48,3qQbCzHBycnDpGskqOWY0E,acerco,1
49,3qQbCzHBycnDpGskqOWY0E,trago,1
50,3qQbCzHBycnDpGskqOWY0E,pero,1
51,3qQbCzHBycnDpGskqOWY0E,solo,1
52,3qQbCzHBycnDpGskqOWY0E,dije,1
53,3qQbCzHBycnDpGskqOWY0E,voy,1
54,3qQbCzHBycnDpGskqOWY0E,plebita,1
55,3qQbCzHBycnDpGskqOWY0E,likeembe,1
56,6XbtvPmIpyCbjuT0e8cQtp,besos,4
57,6XbtvPmIpyCbjuT0e8cQtp,beber,2
58,6XbtvPmIpyCbjuT0e8cQtp,nadie,2
59,6XbtvPmIpyCbjuT0e8cQtp,salir,2
60,6XbtvPmIpyCbjuT0e8cQtp,sentimental,1
61,6XbtvPmIpyCbjuT0e8cQtp,quiere,1
62,6XbtvPmIpyCbjuT0e8cQtp,noche,1
63,6XbtvPmIpyCbjuT0e8cQtp,cumplir,1
64,6XbtvPmIpyCbjuT0e8cQtp,hacer,1
65,6XbtvPmIpyCbjuT0e8cQtp,espero,1
66,6XbtvPmIpyCbjuT0e8cQtp,cualquier,1
67,6XbtvPmIpyCbjuT0e8cQtp,reggaet,1
68,6XbtvPmIpyCbjuT0e8cQtp,escuchando,1
69,6XbtvPmIpyCbjuT0e8cQtp,dese,1
70,6XbtvPmIpyCbjuT0e8cQtp,salud,1
71,1ZJwhLQLt2quexYKP2Q3gk,love,11
72,1ZJwhLQLt2quexYKP2Q3gk,baby,8
73,1ZJwhLQLt2quexYKP2Q3gk,buy,3
74,1ZJwhLQLt2quexYKP2Q3gk,hand,3
75,1ZJwhLQLt2quexYKP2Q3gk,hold,3
76,1ZJwhLQLt2quexYKP2Q3gk,dancing,3
77,1ZJwhLQLt2quexYKP2Q3gk,understand,3
78,1ZJwhLQLt2quexYKP2Q3gk,hour,3
79,1ZJwhLQLt2quexYKP2Q3gk,talk,3
80,1ZJwhLQLt2quexYKP2Q3gk,sand,3
81,1ZJwhLQLt2quexYKP2Q3gk,write,3
82,1ZJwhLQLt2quexYKP2Q3gk,thing,3
83,1ZJwhLQLt2quexYKP2Q3gk,remember,3
84,1ZJwhLQLt2quexYKP2Q3gk,cry,3
85,1ZJwhLQLt2quexYKP2Q3gk,start,3
86,1odExI7RdWc4BT515LTAwj,daylight,15
87,1odExI7RdWc4BT515LTAwj,time,10
88,1odExI7RdWc4BT515LTAwj,hate,8
89,1odExI7RdWc4BT515LTAwj,love,6
90,1odExI7RdWc4BT515LTAwj,runnin,6
91,1odExI7RdWc4BT515LTAwj,ooh,3
92,1odExI7RdWc4BT515LTAwj,drink,3
93,1odExI7RdWc4BT515LTAwj,hidin,3
94,1odExI7RdWc4BT515LTAwj,sin,3
95,1odExI7RdWc4BT515LTAwj,resist,2
96,1odExI7RdWc4BT515LTAwj,distance,2
97,1odExI7RdWc4BT515LTAwj,darkness,2
98,1odExI7RdWc4BT515LTAwj,tell,1
99,1odExI7RdWc4BT515LTAwj,mercy,1
100,1odExI7RdWc4BT515LTAwj,find,1
101,0k096lf5daQ0JozAj9EYZT,kill,8
102,0k096lf5daQ0JozAj9EYZT,love,7
103,0k096lf5daQ0JozAj9EYZT,mature,4
104,0k096lf5daQ0JozAj9EYZT,drug,4
105,0k096lf5daQ0JozAj9EYZT,idea,4
106,0k096lf5daQ0JozAj9EYZT,girlfriend,3
107,0k096lf5daQ0JozAj9EYZT,hate,2
108,0k096lf5daQ0JozAj9EYZT,text,2
109,0k096lf5daQ0JozAj9EYZT,evidence,2
110,0k096lf5daQ0JozAj9EYZT,sober,2
111,0k096lf5daQ0JozAj9EYZT,jail,2
112,0k096lf5daQ0JozAj9EYZT,therapist,2
113,0k096lf5daQ0JozAj9EYZT,farmer,1
114,0k096lf5daQ0JozAj9EYZT,tonight,1
115,0k096lf5daQ0JozAj9EYZT,low,1
116,6XSqqQIy7Lm7SnwxS4NrGx,cobrar,4
117,6XSqqQIy7Lm7SnwxS4NrGx,baby,4
118,6XSqqQIy7Lm7SnwxS4NrGx,nasty,4
119,6XSqqQIy7Lm7SnwxS4NrGx,voy,3
120,6XSqqQIy7Lm7SnwxS4NrGx,toc,3
121,6XSqqQIy7Lm7SnwxS4NrGx,problematic,3
122,6XSqqQIy7Lm7SnwxS4NrGx,fantastic,3
123,6XSqqQIy7Lm7SnwxS4NrGx,cuatro,3
124,6XSqqQIy7Lm7SnwxS4NrGx,fuck,3
125,6XSqqQIy7Lm7SnwxS4NrGx,romantic,3
126,6XSqqQIy7Lm7SnwxS4NrGx,normal,3
127,6XSqqQIy7Lm7SnwxS4NrGx,ver,2
128,6XSqqQIy7Lm7SnwxS4NrGx,formal,2
129,6XSqqQIy7Lm7SnwxS4NrGx,freaky,2
130,6XSqqQIy7Lm7SnwxS4NrGx,ndote,2
131,6EY9e6LyPWmL8hUS5E1P0h,forever,4
132,6EY9e6LyPWmL8hUS5E1P0h,lose,4
133,6EY9e6LyPWmL8hUS5E1P0h,light,4
134,6EY9e6LyPWmL8hUS5E1P0h,mind,2
135,6EY9e6LyPWmL8hUS5E1P0h,dream,2
136,6EY9e6LyPWmL8hUS5E1P0h,break,2
137,6EY9e6LyPWmL8hUS5E1P0h,night,2
138,6EY9e6LyPWmL8hUS5E1P0h,ride,2
139,6EY9e6LyPWmL8hUS5E1P0h,taste,2
140,6EY9e6LyPWmL8hUS5E1P0h,high,2
141,6EY9e6LyPWmL8hUS5E1P0h,spin,2
142,6EY9e6LyPWmL8hUS5E1P0h,give,2
143,6EY9e6LyPWmL8hUS5E1P0h,outta,2
144,6EY9e6LyPWmL8hUS5E1P0h,baby,2
145,6EY9e6LyPWmL8hUS5E1P0h,time,1
146,7mXuWTczZNxG5EDcjFEuJR,gaga,2
147,7mXuWTczZNxG5EDcjFEuJR,lente,2
148,7mXuWTczZNxG5EDcjFEuJR,pendiente,1
149,7mXuWTczZNxG5EDcjFEuJR,flow,1
150,7mXuWTczZNxG5EDcjFEuJR,ne,1
151,7mXuWTczZNxG5EDcjFEuJR,beat,1
152,7mXuWTczZNxG5EDcjFEuJR,egipto,1
153,7mXuWTczZNxG5EDcjFEuJR,fre,1
154,7mXuWTczZNxG5EDcjFEuJR,ambiente,1
155,7mXuWTczZNxG5EDcjFEuJR,polvo,1
156,7mXuWTczZNxG5EDcjFEuJR,doble,1
157,7mXuWTczZNxG5EDcjFEuJR,chau,1
158,7mXuWTczZNxG5EDcjFEuJR,cha,1
159,7mXuWTczZNxG5EDcjFEuJR,merce,1
160,7mXuWTczZNxG5EDcjFEuJR,clave,1
161,5XeFesFbtLpXzIVDNQP22n,deep,3
162,5XeFesFbtLpXzIVDNQP22n,hold,3
163,5XeFesFbtLpXzIVDNQP22n,hide,2
164,5XeFesFbtLpXzIVDNQP22n,secret,2
165,5XeFesFbtLpXzIVDNQP22n,heart,2
166,5XeFesFbtLpXzIVDNQP22n,hard,2
167,5XeFesFbtLpXzIVDNQP22n,coffee,2
168,5XeFesFbtLpXzIVDNQP22n,heater,1
169,5XeFesFbtLpXzIVDNQP22n,hair,1
170,5XeFesFbtLpXzIVDNQP22n,wanna,1
171,5XeFesFbtLpXzIVDNQP22n,lotion,1
172,5XeFesFbtLpXzIVDNQP22n,set,1
173,5XeFesFbtLpXzIVDNQP22n,breathin,1
174,5XeFesFbtLpXzIVDNQP22n,portable,1
175,5XeFesFbtLpXzIVDNQP22n,run,1
176,5AqiaZwhmC6dIbgWrD5SzV,voy,2
177,5AqiaZwhmC6dIbgWrD5SzV,doble,2
178,5AqiaZwhmC6dIbgWrD5SzV,fierro,2
179,5AqiaZwhmC6dIbgWrD5SzV,verga,2
180,5AqiaZwhmC6dIbgWrD5SzV,pedo,1
181,5AqiaZwhmC6dIbgWrD5SzV,mentir,1
182,5AqiaZwhmC6dIbgWrD5SzV,olvidar,1
183,5AqiaZwhmC6dIbgWrD5SzV,mente,1
184,5AqiaZwhmC6dIbgWrD5SzV,sacar,1
185,5AqiaZwhmC6dIbgWrD5SzV,ver,1
186,5AqiaZwhmC6dIbgWrD5SzV,ita,1
187,5AqiaZwhmC6dIbgWrD5SzV,embed,1
188,46YjJXVXWHlQ21odKktg5e,ojal,5
189,46YjJXVXWHlQ21odKktg5e,pienso,2
190,46YjJXVXWHlQ21odKktg5e,dormir,2
191,46YjJXVXWHlQ21odKktg5e,tanning,2
192,46YjJXVXWHlQ21odKktg5e,mojave,1
193,46YjJXVXWHlQ21odKktg5e,friendly,1
194,46YjJXVXWHlQ21odKktg5e,estrella,1
195,46YjJXVXWHlQ21odKktg5e,frontear,1
196,46YjJXVXWHlQ21odKktg5e,giannis,1
197,46YjJXVXWHlQ21odKktg5e,toda,1
198,46YjJXVXWHlQ21odKktg5e,amigo,1
199,46YjJXVXWHlQ21odKktg5e,ey,1
200,46YjJXVXWHlQ21odKktg5e,dando,1
201,46YjJXVXWHlQ21odKktg5e,ghost,1
202,46YjJXVXWHlQ21odKktg5e,cabeza,1
203,59uQI0PADDKeE6UZDTJEe8,night,15
204,59uQI0PADDKeE6UZDTJEe8,baby,7
205,59uQI0PADDKeE6UZDTJEe8,remember,4
206,59uQI0PADDKeE6UZDTJEe8,liquor,3
207,59uQI0PADDKeE6UZDTJEe8,talk,3
208,59uQI0PADDKeE6UZDTJEe8,tell,3
209,59uQI0PADDKeE6UZDTJEe8,wish,3
210,59uQI0PADDKeE6UZDTJEe8,friend,2
211,59uQI0PADDKeE6UZDTJEe8,back,2
212,59uQI0PADDKeE6UZDTJEe8,leave,1
213,59uQI0PADDKeE6UZDTJEe8,pull,1
214,59uQI0PADDKeE6UZDTJEe8,pack,1
215,59uQI0PADDKeE6UZDTJEe8,low,1
216,59uQI0PADDKeE6UZDTJEe8,ticket,1
217,59uQI0PADDKeE6UZDTJEe8,kind,1
218,4ZnkygoWLzcGbQYCm3lkae,feel,9
219,4ZnkygoWLzcGbQYCm3lkae,rush,9
220,4ZnkygoWLzcGbQYCm3lkae,addicted,5
221,4ZnkygoWLzcGbQYCm3lkae,touch,5
222,4ZnkygoWLzcGbQYCm3lkae,boy,3
223,4ZnkygoWLzcGbQYCm3lkae,breathe,2
224,4ZnkygoWLzcGbQYCm3lkae,slow,2
225,4ZnkygoWLzcGbQYCm3lkae,gravity,2
226,4ZnkygoWLzcGbQYCm3lkae,fun,1
227,4ZnkygoWLzcGbQYCm3lkae,shit,1
228,4ZnkygoWLzcGbQYCm3lkae,pocket,1
229,4ZnkygoWLzcGbQYCm3lkae,feeling,1
230,4ZnkygoWLzcGbQYCm3lkae,sun,1
231,4ZnkygoWLzcGbQYCm3lkae,recreate,1
232,4ZnkygoWLzcGbQYCm3lkae,heatwave,1
233,7bPp2NmpmyhLJ7zWazAXMu,quiere,3
234,7bPp2NmpmyhLJ7zWazAXMu,dile,3
235,7bPp2NmpmyhLJ7zWazAXMu,compa,1
236,7bPp2NmpmyhLJ7zWazAXMu,doble,1
237,7bPp2NmpmyhLJ7zWazAXMu,nadando,1
238,7bPp2NmpmyhLJ7zWazAXMu,cuerpo,1
239,7bPp2NmpmyhLJ7zWazAXMu,mientras,1
240,7bPp2NmpmyhLJ7zWazAXMu,ropa,1
241,7bPp2NmpmyhLJ7zWazAXMu,tomando,1
242,7bPp2NmpmyhLJ7zWazAXMu,lejitos,1
243,7bPp2NmpmyhLJ7zWazAXMu,toco,1
244,7bPp2NmpmyhLJ7zWazAXMu,nunca,1
245,7bPp2NmpmyhLJ7zWazAXMu,mansione,1
246,7bPp2NmpmyhLJ7zWazAXMu,frontera,1
247,7bPp2NmpmyhLJ7zWazAXMu,chau,1
248,0V3wPSX9ygBnCm8psDIegu,agree,6
249,0V3wPSX9ygBnCm8psDIegu,time,4
250,0V3wPSX9ygBnCm8psDIegu,problem,4
251,0V3wPSX9ygBnCm8psDIegu,leave,4
252,0V3wPSX9ygBnCm8psDIegu,stare,3
253,0V3wPSX9ygBnCm8psDIegu,scream,3
254,0V3wPSX9ygBnCm8psDIegu,dream,3
255,0V3wPSX9ygBnCm8psDIegu,hero,3
256,0V3wPSX9ygBnCm8psDIegu,sun,3
257,0V3wPSX9ygBnCm8psDIegu,mirror,3
258,0V3wPSX9ygBnCm8psDIegu,exhaust,3
259,0V3wPSX9ygBnCm8psDIegu,root,3
260,0V3wPSX9ygBnCm8psDIegu,anti,3
261,0V3wPSX9ygBnCm8psDIegu,directly,3
262,0V3wPSX9ygBnCm8psDIegu,wake,2
263,2sC2P3BN0IXujNaaSyDmtP,love,9
264,2sC2P3BN0IXujNaaSyDmtP,insane,8
265,2sC2P3BN0IXujNaaSyDmtP,long,6
266,2sC2P3BN0IXujNaaSyDmtP,list,6
267,2sC2P3BN0IXujNaaSyDmtP,go,6
268,2sC2P3BN0IXujNaaSyDmtP,lover,6
269,2sC2P3BN0IXujNaaSyDmtP,game,5
270,2sC2P3BN0IXujNaaSyDmtP,scar,4
271,2sC2P3BN0IXujNaaSyDmtP,nasty,4
272,2sC2P3BN0IXujNaaSyDmtP,leave,4
273,2sC2P3BN0IXujNaaSyDmtP,blank,3
274,2sC2P3BN0IXujNaaSyDmtP,flame,3
275,2sC2P3BN0IXujNaaSyDmtP,worth,3
276,2sC2P3BN0IXujNaaSyDmtP,pain,3
277,2sC2P3BN0IXujNaaSyDmtP,young,3
278,1haJsMtoBhHfvuM7XWuT3W,dio,4
279,1haJsMtoBhHfvuM7XWuT3W,pue,4
280,1haJsMtoBhHfvuM7XWuT3W,extra,2
281,1haJsMtoBhHfvuM7XWuT3W,pecado,2
282,1haJsMtoBhHfvuM7XWuT3W,pido,2
283,1haJsMtoBhHfvuM7XWuT3W,melena,2
284,1haJsMtoBhHfvuM7XWuT3W,traigo,2
285,1haJsMtoBhHfvuM7XWuT3W,sangre,2
286,1haJsMtoBhHfvuM7XWuT3W,siempre,2
287,1haJsMtoBhHfvuM7XWuT3W,traficar,2
288,1haJsMtoBhHfvuM7XWuT3W,polvo,2
289,1haJsMtoBhHfvuM7XWuT3W,verguiza,2
290,1haJsMtoBhHfvuM7XWuT3W,diablo,2
291,1haJsMtoBhHfvuM7XWuT3W,viejo,1
292,1haJsMtoBhHfvuM7XWuT3W,seguido,1
293,7KA4W4McWYRpgf0fWsJZWB,sick,8
294,7KA4W4McWYRpgf0fWsJZWB,bout,7
295,7KA4W4McWYRpgf0fWsJZWB,make,7
296,7KA4W4McWYRpgf0fWsJZWB,eye,5
297,7KA4W4McWYRpgf0fWsJZWB,forever,5
298,7KA4W4McWYRpgf0fWsJZWB,kiss,5
299,7KA4W4McWYRpgf0fWsJZWB,hit,4
300,7KA4W4McWYRpgf0fWsJZWB,time,3
301,7KA4W4McWYRpgf0fWsJZWB,run,2
302,7KA4W4McWYRpgf0fWsJZWB,mind,2
303,7KA4W4McWYRpgf0fWsJZWB,chasing,2
304,7KA4W4McWYRpgf0fWsJZWB,daydream,2
305,7KA4W4McWYRpgf0fWsJZWB,way,2
306,7KA4W4McWYRpgf0fWsJZWB,close,2
307,7KA4W4McWYRpgf0fWsJZWB,dream,2
308,1daDRI9ahBonbWD8YcxOIB,fault,6
309,1daDRI9ahBonbWD8YcxOIB,fly,4
310,1daDRI9ahBonbWD8YcxOIB,angel,4
311,1daDRI9ahBonbWD8YcxOIB,baby,4
312,1daDRI9ahBonbWD8YcxOIB,love,4
313,1daDRI9ahBonbWD8YcxOIB,company,3
314,1daDRI9ahBonbWD8YcxOIB,wish,3
315,1daDRI9ahBonbWD8YcxOIB,ruin,3
316,1daDRI9ahBonbWD8YcxOIB,misery,3
317,1daDRI9ahBonbWD8YcxOIB,knee,3
318,1daDRI9ahBonbWD8YcxOIB,bring,3
319,1daDRI9ahBonbWD8YcxOIB,leave,3
320,1daDRI9ahBonbWD8YcxOIB,day,3
321,1daDRI9ahBonbWD8YcxOIB,go,3
322,1daDRI9ahBonbWD8YcxOIB,wrong,3
323,4h9wh7iOZ0GGn8QVp4RAOB,bout,13
324,4h9wh7iOZ0GGn8QVp4RAOB,worried,9
325,4h9wh7iOZ0GGn8QVp4RAOB,worry,5
326,4h9wh7iOZ0GGn8QVp4RAOB,hero,3
327,4h9wh7iOZ0GGn8QVp4RAOB,cloud,3
328,4h9wh7iOZ0GGn8QVp4RAOB,dance,3
329,4h9wh7iOZ0GGn8QVp4RAOB,flood,3
330,4h9wh7iOZ0GGn8QVp4RAOB,swimmin,3
331,4h9wh7iOZ0GGn8QVp4RAOB,keep,3
332,4h9wh7iOZ0GGn8QVp4RAOB,dream,3
333,4h9wh7iOZ0GGn8QVp4RAOB,alive,3
334,4h9wh7iOZ0GGn8QVp4RAOB,problem,2
335,4h9wh7iOZ0GGn8QVp4RAOB,time,2
336,4h9wh7iOZ0GGn8QVp4RAOB,tell,2
337,4h9wh7iOZ0GGn8QVp4RAOB,toe,2
338,3BKD1PwArikchz2Zrlp1qi,hurt,13
339,3BKD1PwArikchz2Zrlp1qi,love,10
340,3BKD1PwArikchz2Zrlp1qi,baby,7
341,3BKD1PwArikchz2Zrlp1qi,make,3
342,3BKD1PwArikchz2Zrlp1qi,scream,2
343,3BKD1PwArikchz2Zrlp1qi,high,2
344,3BKD1PwArikchz2Zrlp1qi,degree,2
345,3BKD1PwArikchz2Zrlp1qi,dive,1
346,3BKD1PwArikchz2Zrlp1qi,beach,1
347,3BKD1PwArikchz2Zrlp1qi,swimmin,1
348,3BKD1PwArikchz2Zrlp1qi,deep,1
349,3BKD1PwArikchz2Zrlp1qi,limit,1
350,3BKD1PwArikchz2Zrlp1qi,nothin,1
351,3BKD1PwArikchz2Zrlp1qi,strong,1
352,3BKD1PwArikchz2Zrlp1qi,dirty,1
353,505v13epFXodT9fVAJ6h8k,extra,2
354,505v13epFXodT9fVAJ6h8k,dicen,1
355,505v13epFXodT9fVAJ6h8k,ticket,1
356,505v13epFXodT9fVAJ6h8k,amargura,1
357,505v13epFXodT9fVAJ6h8k,baby,1
358,505v13epFXodT9fVAJ6h8k,drum,1
359,505v13epFXodT9fVAJ6h8k,ovy,1
360,505v13epFXodT9fVAJ6h8k,devota,1
361,505v13epFXodT9fVAJ6h8k,volv,1
362,505v13epFXodT9fVAJ6h8k,aqu,1
363,505v13epFXodT9fVAJ6h8k,low,1
364,505v13epFXodT9fVAJ6h8k,misma,1
365,505v13epFXodT9fVAJ6h8k,curando,1
366,505v13epFXodT9fVAJ6h8k,poquito,1
367,505v13epFXodT9fVAJ6h8k,pienso,1
368,23RoR84KodL5HWvUTneQ1w,explain,4
369,23RoR84KodL5HWvUTneQ1w,feel,4
370,23RoR84KodL5HWvUTneQ1w,erase,4
371,23RoR84KodL5HWvUTneQ1w,feeling,4
372,23RoR84KodL5HWvUTneQ1w,leave,4
373,23RoR84KodL5HWvUTneQ1w,mind,4
374,23RoR84KodL5HWvUTneQ1w,guess,4
375,23RoR84KodL5HWvUTneQ1w,ticket,1
376,23RoR84KodL5HWvUTneQ1w,low,1
377,23RoR84KodL5HWvUTneQ1w,embe,1
378,7otCGmgp9h4CsR2LhwB6gt,tear,9
379,7otCGmgp9h4CsR2LhwB6gt,bring,1
380,7otCGmgp9h4CsR2LhwB6gt,fucking,1
381,7otCGmgp9h4CsR2LhwB6gt,learn,1
382,7otCGmgp9h4CsR2LhwB6gt,low,1
383,7otCGmgp9h4CsR2LhwB6gt,ticket,1
384,7otCGmgp9h4CsR2LhwB6gt,odell,1
385,7otCGmgp9h4CsR2LhwB6gt,heart,1
386,7otCGmgp9h4CsR2LhwB6gt,song,1
387,7otCGmgp9h4CsR2LhwB6gt,sing,1
388,7otCGmgp9h4CsR2LhwB6gt,lose,1
389,7otCGmgp9h4CsR2LhwB6gt,win,1
390,7otCGmgp9h4CsR2LhwB6gt,word,1
391,7otCGmgp9h4CsR2LhwB6gt,rude,1
392,7otCGmgp9h4CsR2LhwB6gt,voice,1
393,6zaxxZxxjUJ0I3AYkzp2WA,touch,5
394,6zaxxZxxjUJ0I3AYkzp2WA,light,5
395,6zaxxZxxjUJ0I3AYkzp2WA,feel,4
396,6zaxxZxxjUJ0I3AYkzp2WA,sleep,4
397,6zaxxZxxjUJ0I3AYkzp2WA,blind,3
398,6zaxxZxxjUJ0I3AYkzp2WA,call,2
399,6zaxxZxxjUJ0I3AYkzp2WA,phone,2
400,6zaxxZxxjUJ0I3AYkzp2WA,back,2
401,6zaxxZxxjUJ0I3AYkzp2WA,time,2
402,6zaxxZxxjUJ0I3AYkzp2WA,trust,2
403,6zaxxZxxjUJ0I3AYkzp2WA,drown,2
404,6zaxxZxxjUJ0I3AYkzp2WA,night,2
405,6zaxxZxxjUJ0I3AYkzp2WA,judge,2
406,6zaxxZxxjUJ0I3AYkzp2WA,cold,2
407,6zaxxZxxjUJ0I3AYkzp2WA,city,2
408,0JmnkIqdlnUzPaf8sqBRs3,high,10
409,0JmnkIqdlnUzPaf8sqBRs3,kiss,6
410,0JmnkIqdlnUzPaf8sqBRs3,tonight,6
411,0JmnkIqdlnUzPaf8sqBRs3,ride,6
412,0JmnkIqdlnUzPaf8sqBRs3,dolly,6
413,0JmnkIqdlnUzPaf8sqBRs3,moonlight,4
414,0JmnkIqdlnUzPaf8sqBRs3,higher,3
415,0JmnkIqdlnUzPaf8sqBRs3,feel,3
416,0JmnkIqdlnUzPaf8sqBRs3,put,3
417,0JmnkIqdlnUzPaf8sqBRs3,find,2
418,0JmnkIqdlnUzPaf8sqBRs3,free,2
419,0JmnkIqdlnUzPaf8sqBRs3,moon,1
420,0JmnkIqdlnUzPaf8sqBRs3,leave,1
421,0JmnkIqdlnUzPaf8sqBRs3,mind,1
422,0JmnkIqdlnUzPaf8sqBRs3,priority,1
423,5ww2BF9slyYgNOk37BlC4u,cuide,5
424,5ww2BF9slyYgNOk37BlC4u,dio,4
425,5ww2BF9slyYgNOk37BlC4u,besaste,4
426,5ww2BF9slyYgNOk37BlC4u,pido,4
427,5ww2BF9slyYgNOk37BlC4u,mejor,4
428,5ww2BF9slyYgNOk37BlC4u,dedicaste,4
429,5ww2BF9slyYgNOk37BlC4u,oyendo,4
430,5ww2BF9slyYgNOk37BlC4u,cancione,4
431,5ww2BF9slyYgNOk37BlC4u,calle,4
432,5ww2BF9slyYgNOk37BlC4u,manejando,4
433,5ww2BF9slyYgNOk37BlC4u,ando,4
434,5ww2BF9slyYgNOk37BlC4u,mismo,1
435,5ww2BF9slyYgNOk37BlC4u,low,1
436,5ww2BF9slyYgNOk37BlC4u,ticket,1
437,5ww2BF9slyYgNOk37BlC4u,manuel,1
438,6AQbmUe0Qwf5PZnt4HmTXv,ough,13
439,6AQbmUe0Qwf5PZnt4HmTXv,boy,11
440,6AQbmUe0Qwf5PZnt4HmTXv,liar,7
441,6AQbmUe0Qwf5PZnt4HmTXv,hold,2
442,6AQbmUe0Qwf5PZnt4HmTXv,knee,2
443,6AQbmUe0Qwf5PZnt4HmTXv,picture,2
444,6AQbmUe0Qwf5PZnt4HmTXv,room,2
445,6AQbmUe0Qwf5PZnt4HmTXv,fear,2
446,6AQbmUe0Qwf5PZnt4HmTXv,shit,2
447,6AQbmUe0Qwf5PZnt4HmTXv,fat,1
448,6AQbmUe0Qwf5PZnt4HmTXv,fun,1
449,6AQbmUe0Qwf5PZnt4HmTXv,girl,1
450,6AQbmUe0Qwf5PZnt4HmTXv,bum,1
451,6AQbmUe0Qwf5PZnt4HmTXv,cap,1
452,6AQbmUe0Qwf5PZnt4HmTXv,send,1
453,3t0ic4mkhvhamrKDkulB8v,cool,6
454,3t0ic4mkhvhamrKDkulB8v,overdrive,4
455,3t0ic4mkhvhamrKDkulB8v,live,4
456,3t0ic4mkhvhamrKDkulB8v,life,4
457,3t0ic4mkhvhamrKDkulB8v,spend,2
458,3t0ic4mkhvhamrKDkulB8v,night,2
459,3t0ic4mkhvhamrKDkulB8v,tattoo,1
460,3t0ic4mkhvhamrKDkulB8v,low,1
461,3t0ic4mkhvhamrKDkulB8v,ticket,1
462,3t0ic4mkhvhamrKDkulB8v,liveget,1
463,3t0ic4mkhvhamrKDkulB8v,post,1
464,3t0ic4mkhvhamrKDkulB8v,yousee,1
465,3t0ic4mkhvhamrKDkulB8v,angel,1
466,3t0ic4mkhvhamrKDkulB8v,remove,1
467,3t0ic4mkhvhamrKDkulB8v,world,1
468,21N77gfWYoQDvrLvaeiQgi,baby,18
469,21N77gfWYoQDvrLvaeiQgi,quer,5
470,21N77gfWYoQDvrLvaeiQgi,prender,5
471,21N77gfWYoQDvrLvaeiQgi,mate,3
472,21N77gfWYoQDvrLvaeiQgi,cuerpo,2
473,21N77gfWYoQDvrLvaeiQgi,molly,2
474,21N77gfWYoQDvrLvaeiQgi,fuck,2
475,21N77gfWYoQDvrLvaeiQgi,solo,1
476,21N77gfWYoQDvrLvaeiQgi,pause,1
477,21N77gfWYoQDvrLvaeiQgi,pare,1
478,21N77gfWYoQDvrLvaeiQgi,cama,1
479,21N77gfWYoQDvrLvaeiQgi,alcohol,1
